ticker,quarter,earnings_date,transcript_path
AMD,Q4 2017,2018-Jan-30,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2018-Jan-30-AMD.txt
AMD,Q1 2017,2017-May-01,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2017-May-01-AMD.txt
AMD,Q2 2020,2020-Jul-28,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2020-Jul-28-AMD.txt
AMD,Q2 2018,2018-Jul-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2018-Jul-25-AMD.txt
AMD,Q3 2017,2017-Oct-24,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2017-Oct-24-AMD.txt
AMD,Q3 2018,2018-Oct-24,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2018-Oct-24-AMD.txt
AMD,Q2 2017,2017-Jul-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2017-Jul-25-AMD.txt
AMD,Q1 2020,2020-Apr-28,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2020-Apr-28-AMD.txt
AMD,Q2 2019,2019-Jul-30,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2019-Jul-30-AMD.txt
AMD,Q4 2019,2020-Jan-28,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2020-Jan-28-AMD.txt
AMD,Q4 2015,2016-Jan-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2016-Jan-19-AMD.txt
AMD,Q2 2016,2016-Jul-21,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2016-Jul-21-AMD.txt
AMD,Q3 2019,2019-Oct-29,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2019-Oct-29-AMD.txt
AMD,Q3 2016,2016-Oct-20,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2016-Oct-20-AMD.txt
AMD,Q1 2016,2016-Apr-21,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2016-Apr-21-AMD.txt
AMD,Q1 2019,2019-Apr-30,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2019-Apr-30-AMD.txt
ASML,Q3 2016,2016-Oct-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2016-Oct-19-ASML.txt
ASML,Q1 2018,2018-Apr-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2018-Apr-18-ASML.txt
ASML,Q1 2017,2017-Apr-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2017-Apr-19-ASML.txt
ASML,Q1 2016,2016-Apr-20,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2016-Apr-20-ASML.txt
ASML,Q4 2019,2020-Jan-22,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2020-Jan-22-ASML.txt
ASML,Q2 2019,2019-Jul-17,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2019-Jul-17-ASML.txt
ASML,Q3 2017,2017-Oct-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2017-Oct-18-ASML.txt
ASML,Q2 2020,2020-Jul-15,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2020-Jul-15-ASML.txt
ASML,Q4 2016,2017-Jan-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2017-Jan-18-ASML.txt
ASML,Q4 2015,2016-Jan-20,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2016-Jan-20-ASML.txt
ASML,Q1 2019,2019-Apr-17,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2019-Apr-17-ASML.txt
ASML,Q3 2018,2018-Oct-17,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2018-Oct-17-ASML.txt
ASML,Q1 2020,2020-Apr-15,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2020-Apr-15-ASML.txt
ASML,Q4 2017,2018-Jan-17,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2018-Jan-17-ASML.txt
ASML,Q4 2018,2019-Jan-23,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2019-Jan-23-ASML.txt
ASML,Q2 2018,2018-Jul-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2018-Jul-18-ASML.txt
ASML,Q2 2017,2017-Jul-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2017-Jul-19-ASML.txt
ASML,Q3 2019,2019-Oct-16,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2019-Oct-16-ASML.txt
ASML,Q2 2016,2016-Jul-20,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/ASML/2016-Jul-20-ASML.txt
NVDA,Q1 2017,2016-May-12,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2016-May-12-NVDA.txt
NVDA,Q4 2016,2016-Feb-17,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2016-Feb-17-NVDA.txt
NVDA,Q1 2018,2017-May-09,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2017-May-09-NVDA.txt
NVDA,Q2 2020,2019-Aug-15,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2019-Aug-15-NVDA.txt
NVDA,Q4 2020,2020-Feb-13,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2020-Feb-13-NVDA.txt
NVDA,Q3 2017,2016-Nov-10,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2016-Nov-10-NVDA.txt
NVDA,Q2 2018,2017-Aug-10,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2017-Aug-10-NVDA.txt
NVDA,Q3 2020,2019-Nov-14,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2019-Nov-14-NVDA.txt
NVDA,Q4 2019,2019-Feb-14,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2019-Feb-14-NVDA.txt
NVDA,Q3 2019,2018-Nov-15,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2018-Nov-15-NVDA.txt
NVDA,Q2 2021,2020-Aug-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2020-Aug-19-NVDA.txt
NVDA,Q1 2020,2019-May-16,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2019-May-16-NVDA.txt
NVDA,Q1 2019,2018-May-10,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2018-May-10-NVDA.txt
NVDA,Q4 2018,2018-Feb-08,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2018-Feb-08-NVDA.txt
NVDA,Q1 2021,2020-May-21,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2020-May-21-NVDA.txt
NVDA,Q2 2019,2018-Aug-16,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2018-Aug-16-NVDA.txt
NVDA,Q3 2018,2017-Nov-09,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2017-Nov-09-NVDA.txt
NVDA,Q2 2017,2016-Aug-11,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2016-Aug-11-NVDA.txt
NVDA,Q4 2017,2017-Feb-09,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/NVDA/2017-Feb-09-NVDA.txt
CSCO,Q2 2016,2016-Feb-10,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2016-Feb-10-CSCO.txt
CSCO,Q3 2019,2019-May-15,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2019-May-15-CSCO.txt
CSCO,Q4 2018,2018-Aug-15,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2018-Aug-15-CSCO.txt
CSCO,Q2 2020,2020-Feb-12,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2020-Feb-12-CSCO.txt
CSCO,Q4 2019,2019-Aug-14,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2019-Aug-14-CSCO.txt
CSCO,Q1 2017,2016-Nov-16,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2016-Nov-16-CSCO.txt
CSCO,Q3 2016,2016-May-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2016-May-18-CSCO.txt
CSCO,Q4 2017,2017-Aug-16,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2017-Aug-16-CSCO.txt
CSCO,Q1 2019,2018-Nov-14,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2018-Nov-14-CSCO.txt
CSCO,Q2 2018,2018-Feb-14,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2018-Feb-14-CSCO.txt
CSCO,Q1 2020,2019-Nov-13,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2019-Nov-13-CSCO.txt
CSCO,Q2 2019,2019-Feb-13,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2019-Feb-13-CSCO.txt
CSCO,Q4 2020,2020-Aug-12,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2020-Aug-12-CSCO.txt
CSCO,Q2 2017,2017-Feb-15,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2017-Feb-15-CSCO.txt
CSCO,Q1 2018,2017-Nov-15,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2017-Nov-15-CSCO.txt
CSCO,Q3 2018,2018-May-16,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2018-May-16-CSCO.txt
CSCO,Q3 2017,2017-May-17,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2017-May-17-CSCO.txt
CSCO,Q3 2020,2020-May-13,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2020-May-13-CSCO.txt
CSCO,Q4 2016,2016-Aug-17,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/CSCO/2016-Aug-17-CSCO.txt
